Go.	Vá.
Hi.	Oi.
Run!	Corra!
Fire!	Fogo!
Help!	Socorro!
Jump.	Pule.
Stop!	Pare!
Wait!	Espere!
Go on.	Continue.
Hello!	Olá!
I see.	Eu entendo.
I try.	Eu tento.
I won.	Eu venci.
I'm OK.	Estou bem.
Listen.	Escute.
No way!	De jeito nenhum!
Really?	Sério?
Thanks.	Obrigado.
We try.	Nós tentamos.
Why me?	Por que eu?
I agree.	Eu concordo.
Be calm.	Fique calmo.
Be quiet.	Fique quieto.
Come here.	Venha aqui.
Come in.	Entre.
Get out.	Saia.
Good job.	Bom trabalho.
Hold on.	Espere um momento.
Hurry up.	Apresse-se.
I doubt it.	Eu duvido.
I'm busy.	Estou ocupado.
I'm cold.	Estou com frio.
I'm hot.	Estou com calor.
I'm ready.	Estou pronto.
I'm sorry.	Desculpe-me.
I'm tired.	Estou cansado.
Keep going.	Continue assim.
Let's go.	Vamos.
Never mind.	Deixa pra lá.
Not yet.	Ainda não.
Shut up.	Cale a boca.
Sit down.	Sente-se.
Slow down.	Vá devagar.
Stay here.	Fique aqui.
Take care.	Cuide-se.
Try again.	Tente novamente.
Wake up.	Acorde.
Watch out.	Cuidado.
Well done.	Bem feito.
Who knows?	Quem sabe?
I love you.	Eu te amo.
I miss you.	Sinto sua falta.
I need help.	Preciso de ajuda.
I don't know.	Eu não sei.
I'm hungry.	Estou com fome.
I'm thirsty.	Estou com sede.
I like it.	Eu gosto disso.
I hate it.	Eu odeio isso.
Call me later.	Me ligue mais tarde.
See you soon.	Até logo.
Good morning.	Bom dia.
Good night.	Boa noite.
Good afternoon.	Boa tarde.
Nice to meet you.	Prazer em conhecê-lo.
How are you?	Como você está?
What's your name?	Qual é o seu nome?
Where are you?	Onde você está?
What time is it?	Que horas são?
I don't understand.	Eu não entendo.
Can you help me?	Você pode me ajudar?
I'm lost.	Estou perdido.
I'm sick.	Estou doente.
I feel better.	Me sinto melhor.
That's right.	Está certo.
That's wrong.	Está errado.
I believe you.	Eu acredito em você.
I trust you.	Eu confio em você.
Tell me more.	Conte-me mais.
Show me.	Mostre-me.
Teach me.	Me ensine.
Let me try.	Deixe-me tentar.
Give me that.	Me dê isso.
Take this.	Pegue isso.
Leave me alone.	Me deixe em paz.
Come with me.	Venha comigo.
Follow me.	Siga-me.
Look at me.	Olhe para mim.
Listen to me.	Me escute.
Talk to me.	Fale comigo.
Help me out.	Me ajude.
I forgot.	Eu esqueci.
I remember.	Eu me lembro.
I think so.	Eu acho que sim.
I hope so.	Espero que sim.
Maybe later.	Talvez mais tarde.
Not now.	Agora não.
Just kidding.	Só brincando.
Be careful.	Tenha cuidado.
Be patient.	Seja paciente.
Be honest.	Seja honesto.
Be quiet please.	Fique quieto por favor.
Don't worry.	Não se preocupe.
Don't cry.	Não chore.
Don't laugh.	Não ria.
Don't run.	Não corra.
Don't move.	Não se mexa.
Don't touch.	Não toque.
Don't forget.	Não esqueça.
Don't be late.	Não se atrase.
Don't be sad.	Não fique triste.
I can't wait.	Mal posso esperar.
I can swim.	Eu sei nadar.
I can't swim.	Eu não sei nadar.
I can help.	Eu posso ajudar.
I can't help.	Eu não posso ajudar.
I need water.	Preciso de água.
I need food.	Preciso de comida.
I need rest.	Preciso descansar.
I want coffee.	Quero café.
I want tea.	Quero chá.
I like music.	Eu gosto de música.
I like books.	Eu gosto de livros.
I like movies.	Eu gosto de filmes.
I play soccer.	Eu jogo futebol.
